GeneID,Cor,P
AT1G10410,0.489887131,0
AT3G27270,0.489882108,0
AT3G47820,0.489879596,0
AT4G34120,0.489828858,0
AT4G25670,0.489793191,0
AT2G45760,0.489605311,0
AT3G43210,0.489588231,0
AT1G48160,0.489518404,0
AT1G74870,0.489437525,0
AT3G25655,0.489420445,0
AT1G67060,0.489401858,0
AT5G24640,0.489386788,0
AT1G16560,0.489380759,0
AT4G04490,0.489362172,0
AT3G28865,0.489201419,0
AT1G57650,0.489188861,0
AT2G04495,0.488965314,0
AT5G04860,0.488691531,0
AT2G32210,0.488633258,0
AT1G76900,0.488399162,0
AT2G37710,0.48827709,0
AT5G35320,0.488179131,0
AT3G28480,0.488163056,0
AT1G21850,0.488085693,0
AT2G46330,0.488022397,0
AT5G05300,0.487989744,0
AT3G15340,0.487981706,0
AT1G02230,0.487800859,0
AT4G09205,0.487756652,0
AT1G79340,0.487707924,0
AT1G13470,0.487680797,0
AT4G11070,0.487604439,0
AT4G14220,0.487242243,0
AT4G33930,0.487239731,0
AT1G48320,0.487174927,0
AT2G46150,0.487127204,0
AT4G25692,0.48702171,0
AT1G74710,0.48693631,0
AT4G35310,0.486888084,0
AT4G25070,0.486882056,0
AT1G61550,0.486839356,0
AT5G46960,0.486640926,0
AT5G51710,0.486428933,0
AT4G27260,0.486415872,0
AT1G21450,0.486405323,0
AT3G20600,0.485797978,0
AT4G24020,0.485638229,0
AT4G02520,0.48557644,0
AT5G32254,0.485568402,0
AT1G23330,0.485531731,0
AT3G53670,0.485323756,0
AT5G54870,0.485224291,0
AT3G19930,0.485147431,0
AT4G23280,0.485033396,0
AT5G19980,0.484980649,0
AT5G65290,0.48458379,0
AT4G19700,0.484207528,0
AT2G36580,0.48393676,0
AT5G52760,0.4839026,0
AT3G21990,0.483707687,0
AT4G31230,0.483701156,0
AT4G33360,0.483667499,0
AT4G23170,0.483598174,0
AT3G13090,0.483462539,0
AT5G40000,0.483305302,0
AT2G43820,0.483150577,0
AT3G51440,0.483019463,0
AT3G24400,0.483001378,0
AT3G10480,0.482867753,0
AT4G09255,0.48275623,0
AT1G67880,0.482721065,0
AT5G23490,0.482564331,0
AT2G29120,0.482449795,0
AT5G11140,0.482401067,0
AT1G35112,0.482260408,0
AT4G31570,0.482094129,0
AT2G16460,0.482002701,0
AT1G29060,0.481780158,0
AT1G32170,0.481521446,0
AT2G39720,0.48149231,0
AT5G10100,0.481451619,0
AT1G15670,0.481300913,0
AT4G11860,0.481299406,0
AT2G31390,0.48128735,0
AT3G05360,0.481222044,0
AT1G80460,0.48114217,0
AT3G33006,0.48098644,0
AT1G12210,0.480833725,0
AT1G26690,0.480825688,0
AT5G62770,0.48079002,0
AT1G11890,0.480619723,0
AT1G13520,0.48058506,0
AT5G48560,0.480573004,0
AT3G50930,0.480440383,0
AT1G17890,0.480317809,0
AT4G26200,0.480293696,0
AT2G40095,0.480274104,0
AT1G09540,0.480191718,0
AT2G27389,0.480065627,0
AT4G02370,0.480021923,0
AT5G38310,0.47992949,0
AT1G10290,0.479459287,0
AT1G38167,0.479351281,0
AT1G05880,0.479242271,0
AT5G39610,0.479151345,0
AT3G02140,0.479141298,0
AT5G12010,0.479002146,0
AT4G17660,0.478835365,0
AT1G16470,0.478806731,0
AT3G05630,0.478716307,0
AT3G26910,0.478649494,0
AT1G32960,0.478600766,0
AT2G23680,0.478582179,0
AT2G14720,0.478397815,0
AT1G70170,0.478310908,0
AT5G44460,0.478267204,0
AT3G59950,0.477951726,0
AT3G11320,0.477569938,0
AT3G17770,0.477548336,0
AT3G62590,0.477486045,0
AT1G63245,0.477398133,0
AT3G54530,0.477389593,0
AT1G75510,0.477258479,0
AT3G17790,0.47702187,0
AT1G58561,0.476983692,0
AT4G01250,0.476923912,0
AT2G44600,0.476837005,0
AT2G41420,0.476755121,0
AT1G07360,0.476642092,0
AT3G13435,0.476594368,0
AT4G02940,0.476438639,0
AT5G01380,0.476262815,0
AT2G33110,0.476245233,0
AT1G33560,0.476069409,0
AT4G17530,0.475996066,0
AT1G31780,0.475993554,0
AT3G04090,0.475870477,0
AT5G09876,0.475823256,0
AT4G01970,0.475656475,0
AT4G15236,0.475633869,0
AT3G10380,0.475633367,0
AT4G33910,0.47549321,0
AT1G72390,0.475056163,0
AT2G01650,0.475047623,0
AT1G14670,0.474794939,0
AT2G31260,0.474666839,0
AT1G28600,0.474537232,0
AT5G08680,0.474452335,0
AT4G36800,0.474443795,0
AT3G46820,0.474424203,0
AT1G73670,0.474328756,0
AT4G36110,0.474247877,0
AT1G19025,0.474158961,0
AT1G59710,0.474067532,0
AT2G36310,0.474058992,0
AT4G00550,0.473967062,0
