GeneID,Cor,P
AT1G06640,-0.560025158,0
AT5G23570,-0.560216554,0
AT5G08100,-0.560319537,0
AT5G27390,-0.560361734,0
AT5G35790,-0.560629991,0
AT1G05030,-0.56065109,0
AT4G03415,-0.56066616,0
AT3G12120,-0.560668672,0
AT2G21340,-0.560770147,0
AT1G55140,-0.560795767,0
AT3G23070,-0.561061512,0
AT1G49240,-0.561250397,0
AT3G60210,-0.561334792,0
AT3G23640,-0.561335797,0
AT5G57440,-0.561423206,0
AT2G35950,-0.561543771,0
AT2G35920,-0.561663833,0
AT5G27560,-0.561858244,0
AT3G17160,-0.561863268,0
AT3G48670,-0.561976297,0
AT4G14000,-0.562152121,0
AT3G57785,-0.562181759,0
AT1G20620,-0.562197835,0
AT1G13980,-0.562307348,0
AT4G30720,-0.562312873,0
AT1G07820,-0.562354569,0
AT4G27800,-0.562535918,0
AT3G29185,-0.562617299,0
AT5G24314,-0.562803672,0
AT3G50685,-0.562915195,0
AT5G63030,-0.563052337,0
AT1G13440,-0.563133718,0
AT3G49680,-0.563217611,0
AT3G44798,-0.563464769,0
AT4G21910,-0.563531582,0
AT4G17030,-0.563594878,0
AT2G48120,-0.563623513,0
AT3G13510,-0.563773716,0
AT1G06190,-0.563927436,0
AT2G43800,-0.564267027,0
AT1G20340,-0.564305206,0
AT4G31310,-0.56432329,0
AT1G18450,-0.564405174,0
AT3G05910,-0.564432803,0
AT1G16920,-0.564610636,0
AT3G23490,-0.56461566,0
AT5G66590,-0.564831672,0
AT1G24020,-0.564954246,0
AT2G27230,-0.565150666,0
AT2G28910,-0.565410382,0
AT2G47070,-0.565432988,0
AT3G04340,-0.565647493,0
AT3G17310,-0.566164414,0
AT1G51110,-0.566187522,0
AT4G16410,-0.566217664,0
AT2G31670,-0.566395497,0
AT5G03830,-0.566640645,0
AT5G51110,-0.566773266,0
AT5G06340,-0.567149026,0
AT3G02180,-0.567180674,0
AT1G48420,-0.567266577,0
AT1G72090,-0.56729722,0
AT2G26580,-0.567636308,0
AT4G21326,-0.567892509,0
AT4G10690,-0.567995491,0
AT1G72180,-0.568072351,0
AT3G52900,-0.568089431,0
AT5G20720,-0.568109525,0
AT4G09620,-0.568363213,0
AT5G57850,-0.568395364,0
AT4G13770,-0.568590779,0
AT2G36990,-0.568629963,0
AT2G37330,-0.568696776,0
AT1G69935,-0.568783683,0
AT3G28730,-0.569087104,0
AT5G22640,-0.569113226,0
AT4G21960,-0.569168988,0
AT5G26742,-0.569665815,0
AT5G03560,-0.569780351,0
AT5G23310,-0.569876301,0
AT3G16290,-0.569993851,0
AT1G52740,-0.570343489,0
AT1G53000,-0.570401259,0
AT1G25175,-0.570620285,0
AT5G19330,-0.570753409,0
AT1G11430,-0.571173878,0
AT5G39790,-0.571186437,0
AT1G06960,-0.571196987,0
AT5G01350,-0.571317551,0
AT5G57345,-0.571378336,0
AT2G45520,-0.571383862,0
AT3G58680,-0.571388886,0
AT1G68560,-0.571409984,0
AT2G25710,-0.571564207,0
AT1G20540,-0.57174857,0
AT3G11730,-0.572145429,0
AT1G55930,-0.572173561,0
AT3G18080,-0.572317234,0
AT2G04940,-0.572334816,0
AT5G49650,-0.572452367,0
AT1G18773,-0.572617641,0
AT3G63190,-0.572656322,0
AT1G23400,-0.57268797,0
AT2G29180,-0.572796479,0
AT5G23040,-0.573035599,0
AT4G12980,-0.573276728,0
AT4G14145,-0.573303855,0
AT1G16080,-0.573304358,0
AT4G18120,-0.573600244,0
AT1G72650,-0.573815753,0
AT3G49140,-0.573984544,0
AT2G26430,-0.574118672,0
AT2G32650,-0.574238734,0
AT2G43535,-0.574438671,0
AT2G28000,-0.574568278,0
AT3G53460,-0.574699392,0
AT4G25970,-0.57500633,0
AT5G49840,-0.575035968,0
AT5G14390,-0.57505556,0
AT4G17560,-0.575344916,0
AT2G30170,-0.575426799,0
AT1G74458,-0.575538824,0
AT1G44810,-0.575541838,0
AT5G53850,-0.575669436,0
AT5G40950,-0.575690032,0
AT4G29060,-0.575949749,0
AT4G20760,-0.576080863,0
AT3G16640,-0.576167267,0
AT2G25590,-0.57623408,0
AT1G54350,-0.57631094,0
AT1G29900,-0.576356152,0
AT3G58220,-0.576553075,0
AT2G01420,-0.576619385,0
AT2G43370,-0.576793199,0
AT3G45770,-0.577267923,0
AT5G17170,-0.57734629,0
AT3G06730,-0.577369901,0
AT2G34560,-0.577412601,0
AT4G09670,-0.577502522,0
AT2G17640,-0.577739632,0
AT1G06265,-0.577909428,0
AT2G35860,-0.577926005,0
AT1G31410,-0.577934545,0
AT2G31440,-0.578037528,0
AT3G24100,-0.578047575,0
AT5G67150,-0.578206318,0
AT1G13640,-0.578207825,0
AT2G21370,-0.578259568,0
AT1G74090,-0.578319348,0
AT3G48560,-0.578416804,0
AT2G14878,-0.578725751,0
AT1G12010,-0.578773475,0
AT2G22670,-0.578860884,0
AT5G48960,-0.579246189,0
AT5G62190,-0.579253222,0
AT3G52170,-0.579272814,0
AT1G08640,-0.579589799,0
AT1G13380,-0.579753063,0
AT3G61260,-0.579813346,0
AT1G25097,-0.579844492,0
AT5G55210,-0.579852529,0
AT5G44930,-0.580007756,0
AT2G21170,-0.580103203,0
AT5G61130,-0.580310173,0
AT1G15940,-0.580318713,0
AT4G12917,-0.580404113,0
AT4G37870,-0.580409136,0
AT1G07320,-0.580420188,0
AT1G13280,-0.580509607,0
AT4G13720,-0.580684426,0
AT5G67180,-0.58073868,0
AT3G16100,-0.580838648,0
AT3G09470,-0.581104393,0
AT2G47400,-0.581294282,0
AT1G48598,-0.581359588,0
AT1G22700,-0.581497735,0
AT5G58590,-0.581507782,0
AT5G24165,-0.581515318,0
AT5G16550,-0.581539431,0
AT4G04830,-0.581892083,0
AT5G54600,-0.581927247,0
AT4G00335,-0.581954374,0
AT4G23670,-0.581980497,0
AT2G42590,-0.58207092,0
AT1G78560,-0.582101061,0
AT1G25290,-0.58216486,0
AT3G28460,-0.582480338,0
AT5G05960,-0.58267726,0
AT3G08510,-0.582708909,0
AT3G25150,-0.582932958,0
AT2G30620,-0.583273553,0
AT3G29090,-0.583288624,0
AT2G24290,-0.583322282,0
AT2G33450,-0.583486049,0
AT5G42765,-0.583876879,0
AT2G17650,-0.583885419,0
AT4G36910,-0.584234052,0
AT3G25660,-0.584370692,0
AT1G56280,-0.584528934,0
AT3G27420,-0.584650001,0
AT1G73110,-0.584850942,0
AT1G36980,-0.58498507,0
AT1G50480,-0.585056907,0
AT2G31840,-0.585165415,0
AT4G31460,-0.585510029,0
AT3G57062,-0.585592917,0
AT4G11410,-0.585596936,0
AT4G14615,-0.585702933,0
AT1G77080,-0.585746637,0
AT3G32930,-0.585802901,0
AT1G08110,-0.585999321,0
AT1G04420,-0.586057594,0
AT3G01770,-0.586213323,0
AT1G16350,-0.586365536,0
AT4G25080,-0.586500167,0
AT5G58960,-0.586561454,0
AT2G43530,-0.586743306,0
AT1G73180,-0.586855833,0
AT1G64510,-0.586999003,0
AT2G35450,-0.587063305,0
AT3G57320,-0.587345627,0
AT4G16770,-0.587457652,0
AT5G03880,-0.587799754,0
AT1G35516,-0.587995169,0
AT1G70890,-0.588046409,0
AT3G26935,-0.588494006,0
AT1G23820,-0.588594979,0
AT1G58235,-0.588617585,0
AT3G04890,-0.588665811,0
AT1G50900,-0.588671337,0
AT2G34590,-0.588818526,0
AT3G54210,-0.590077925,0
AT5G24735,-0.590678237,0
AT3G20930,-0.590709383,0
AT5G35360,-0.590776196,0
AT1G68540,-0.591019335,0
AT1G07830,-0.591278549,0
AT3G49470,-0.591390573,0
AT5G60400,-0.591735188,0
AT1G15200,-0.592415876,0
AT1G33520,-0.592713771,0
AT1G16460,-0.593242749,0
AT4G38090,-0.593497442,0
AT4G00560,-0.594014363,0
AT3G14110,-0.59410328,0
AT4G13200,-0.594193703,0
AT5G28300,-0.59427207,0
AT3G06290,-0.59432331,0
AT4G02790,-0.594644314,0
AT1G70200,-0.594676465,0
AT4G36515,-0.59475031,0
AT4G17730,-0.594849776,0
AT5G11580,-0.594894486,0
AT1G24880,-0.59542698,0
AT2G31040,-0.595488267,0
AT1G49380,-0.595498816,0
AT1G15500,-0.596259881,0
AT2G26500,-0.596320666,0
AT3G56750,-0.596484433,0
AT3G47450,-0.596567321,0
AT5G63860,-0.596774793,0
AT4G03205,-0.596803427,0
AT1G17220,-0.597104839,0
AT4G14040,-0.597213347,0
AT1G05385,-0.59732286,0
AT1G45201,-0.597500191,0
